row_id,issue
274,Missing booking_url
274,last_review_date missing/unparseable
275,Missing booking_url
275,last_review_date missing/unparseable
276,Missing booking_url
276,last_review_date missing/unparseable
277,Missing booking_url
277,last_review_date missing/unparseable
278,Missing booking_url
278,last_review_date missing/unparseable
279,Missing booking_url
279,last_review_date missing/unparseable
280,Missing booking_url
280,last_review_date missing/unparseable
281,Missing booking_url
281,last_review_date missing/unparseable
282,Missing booking_url
282,last_review_date missing/unparseable
283,Missing booking_url
283,last_review_date missing/unparseable
284,Missing booking_url
284,last_review_date missing/unparseable
285,Missing booking_url
285,last_review_date missing/unparseable
286,Missing booking_url
286,last_review_date missing/unparseable
287,Missing booking_url
287,last_review_date missing/unparseable
287,Duplicate email
287,Duplicate phone
288,Missing booking_url
288,last_review_date missing/unparseable
289,Missing booking_url
289,last_review_date missing/unparseable
290,Missing booking_url
290,last_review_date missing/unparseable
291,Website missing
291,Missing booking_url
291,last_review_date missing/unparseable
291,Duplicate email
292,Missing booking_url
292,last_review_date missing/unparseable
292,Duplicate domain
293,Missing booking_url
293,last_review_date missing/unparseable
294,Missing booking_url
294,last_review_date missing/unparseable
295,Missing booking_url
295,last_review_date missing/unparseable
296,Missing booking_url
296,last_review_date missing/unparseable
297,Missing booking_url
297,last_review_date missing/unparseable
298,Missing booking_url
298,last_review_date missing/unparseable
299,Missing booking_url
299,last_review_date missing/unparseable
300,Missing booking_url
300,last_review_date missing/unparseable
301,Missing booking_url
301,last_review_date missing/unparseable
302,Missing booking_url
302,last_review_date missing/unparseable
303,Missing booking_url
303,last_review_date missing/unparseable
303,Duplicate email
303,Duplicate domain
304,Missing booking_url
304,last_review_date missing/unparseable
305,Missing booking_url
305,last_review_date missing/unparseable
306,Missing booking_url
306,last_review_date missing/unparseable
307,Missing booking_url
307,last_review_date missing/unparseable
308,Missing booking_url
308,last_review_date missing/unparseable
308,Duplicate email
309,Missing booking_url
309,last_review_date missing/unparseable
310,Website missing
310,Missing booking_url
310,last_review_date missing/unparseable
310,Duplicate email
311,Website missing
311,Missing booking_url
311,last_review_date missing/unparseable
311,Duplicate email
312,Missing booking_url
312,last_review_date missing/unparseable
312,Duplicate email
313,Missing booking_url
313,last_review_date missing/unparseable
314,Missing booking_url
314,last_review_date missing/unparseable
315,Missing booking_url
315,last_review_date missing/unparseable
316,Missing booking_url
316,last_review_date missing/unparseable
316,Duplicate domain
317,Missing booking_url
317,last_review_date missing/unparseable
317,Duplicate domain
318,Missing booking_url
318,last_review_date missing/unparseable
319,Missing booking_url
319,last_review_date missing/unparseable
319,Duplicate email
320,Missing booking_url
320,last_review_date missing/unparseable
321,Missing booking_url
321,last_review_date missing/unparseable
322,Missing booking_url
322,last_review_date missing/unparseable
323,Missing booking_url
323,last_review_date missing/unparseable
324,Missing booking_url
324,last_review_date missing/unparseable
325,Website missing
325,Missing booking_url
325,last_review_date missing/unparseable
325,Duplicate email
326,Missing booking_url
326,last_review_date missing/unparseable
327,Missing booking_url
327,last_review_date missing/unparseable
328,Missing booking_url
328,last_review_date missing/unparseable
329,Missing booking_url
329,last_review_date missing/unparseable
329,Duplicate email
329,Duplicate domain
330,Missing booking_url
330,last_review_date missing/unparseable
331,Missing booking_url
331,last_review_date missing/unparseable
332,Missing booking_url
332,last_review_date missing/unparseable
333,Missing booking_url
333,last_review_date missing/unparseable
334,Missing booking_url
334,last_review_date missing/unparseable
335,Missing booking_url
335,last_review_date missing/unparseable
336,Missing booking_url
336,last_review_date missing/unparseable
337,Missing booking_url
337,last_review_date missing/unparseable
338,Missing booking_url
338,last_review_date missing/unparseable
338,Duplicate domain
339,Missing booking_url
339,last_review_date missing/unparseable
340,Missing booking_url
340,last_review_date missing/unparseable
340,Duplicate email
341,Website missing
341,Missing booking_url
341,last_review_date missing/unparseable
342,Website missing
342,Missing booking_url
342,last_review_date missing/unparseable
343,Missing booking_url
343,last_review_date missing/unparseable
344,Missing booking_url
344,last_review_date missing/unparseable
345,Missing booking_url
345,last_review_date missing/unparseable
346,Missing booking_url
346,last_review_date missing/unparseable
347,Missing booking_url
347,last_review_date missing/unparseable
347,Duplicate email
347,Duplicate domain
347,Duplicate phone
348,Missing booking_url
348,last_review_date missing/unparseable
348,Duplicate domain
349,Missing booking_url
349,last_review_date missing/unparseable
349,Duplicate email
350,Missing booking_url
350,last_review_date missing/unparseable
351,Missing booking_url
351,last_review_date missing/unparseable
352,Missing booking_url
352,last_review_date missing/unparseable
353,Missing booking_url
353,last_review_date missing/unparseable
354,Missing booking_url
354,last_review_date missing/unparseable
355,Missing booking_url
355,last_review_date missing/unparseable
356,Missing booking_url
356,last_review_date missing/unparseable
357,Missing booking_url
357,last_review_date missing/unparseable
358,Missing booking_url
358,last_review_date missing/unparseable
